Network,Address,Contract Name,Method,Role,Wallet,Identity
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,addSupportedAsset,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,removeSupportedAsset,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,addCustodianAddress,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,removeCustodianAddress,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,freezeFunds,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,unfreezeFunds,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMintingJUSD,approveRedeemRequest,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,rejectRedeemRequest,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,mintForCrossChain,onlyCrossChainOperator,0xAF12b0Ae5A72D7b8A8eC675f3E76E2Db56143565,YUSDMintBurnOFTAdapter
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,burnForCrossChain,onlyCrossChainOperator,0xAF12b0Ae5A72D7b8A8eC675f3E76E2Db56143565,YUSDMintBurnOFTAdapter
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,depositIncome,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
