Network,Address,Contract Name,Method,Role,Wallet,Identity
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setAegisConfigAddress,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setInsuranceFundAddress,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setFeedRegistryAddress,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setAegisOracleAddress,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setCrossChainOperator,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setIncomeFeeBP,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setMintPaused,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setRedeemPaused,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setCrossChainPaused,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setMintFeeBP,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setRedeemFeeBP,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setMintLimits,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setRedeemLimits,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setChainlinkAssetHeartbeat,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,addSupportedAsset,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,removeSupportedAsset,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,addCustodianAddress,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,removeCustodianAddress,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,freezeFunds,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,unfreezeFunds,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Avalanche,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,addBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Avalanche,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,removeBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Avalanche,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,setPeer,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Avalanche,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,setDelegate,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Avalanche,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,setMsgInspector,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Avalanche,0x539e46827c37A3ef11c7cE521CC56B4d59E602e3,sYUSDOFT,setPeer,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Avalanche,0x539e46827c37A3ef11c7cE521CC56B4d59E602e3,sYUSDOFT,setDelegate,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Avalanche,0x539e46827c37A3ef11c7cE521CC56B4d59E602e3,sYUSDOFT,setMsgInspector,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Avalanche,0x773B65dfF82a5C49eC4002bb886b2FB4623071B4,AegisConfig,whitelistAddress,onlyOperator,0x4a09579f3f07C474436eCbe6c4D4fF4111795650,Server Trusted Signer
Avalanche,0x773B65dfF82a5C49eC4002bb886b2FB4623071B4,AegisConfig,enableWhitelist,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Avalanche,0x773B65dfF82a5C49eC4002bb886b2FB4623071B4,AegisConfig,disableWhitelist,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Avalanche,0x773B65dfF82a5C49eC4002bb886b2FB4623071B4,AegisConfig,setTrustedSigner,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Avalanche,0x773B65dfF82a5C49eC4002bb886b2FB4623071B4,AegisConfig,setOperator,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Avalanche,0xB02FC8fA9fB1cA333c2e8028Ba6Eb6C0B1cDB3Af,AegisRewardsManual,finalizeRewards,REWARDS_MANAGER_ROLE,0x82B4BCAff70FBc91b0e0f07370f83F4BE828C158,Alex Maslennikov
Avalanche,0xB02FC8fA9fB1cA333c2e8028Ba6Eb6C0B1cDB3Af,AegisRewardsManual,withdrawExpiredRewards,REWARDS_MANAGER_ROLE,0x82B4BCAff70FBc91b0e0f07370f83F4BE828C158,Alex Maslennikov
Avalanche,0xB02FC8fA9fB1cA333c2e8028Ba6Eb6C0B1cDB3Af,AegisRewardsManual,depositRewards,REWARDS_MANAGER_ROLE,0x82B4BCAff70FBc91b0e0f07370f83F4BE828C158,Alex Maslennikov
Avalanche,0xB02FC8fA9fB1cA333c2e8028Ba6Eb6C0B1cDB3Af,AegisRewardsManual,setAegisConfigAddress,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Avalanche,0xB02FC8fA9fB1cA333c2e8028Ba6Eb6C0B1cDB3Af,AegisRewardsManual,rescueAssets,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Arbitrum,0xF07781182B47e728B040f9e35321260e359fF9f7,YUSDOFT,addBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Arbitrum,0xF07781182B47e728B040f9e35321260e359fF9f7,YUSDOFT,removeBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Arbitrum,0xF07781182B47e728B040f9e35321260e359fF9f7,YUSDOFT,setPeer,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Arbitrum,0xF07781182B47e728B040f9e35321260e359fF9f7,YUSDOFT,setDelegate,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Arbitrum,0xF07781182B47e728B040f9e35321260e359fF9f7,YUSDOFT,setMsgInspector,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Katana,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,addBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Katana,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,removeBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Katana,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,setPeer,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Katana,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,setDelegate,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Katana,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,setMsgInspector,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Katana,0xFCeF626dE4A0175ac962DD43EB0A002819FaAEFe,sYUSDOFT,setPeer,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Katana,0xFCeF626dE4A0175ac962DD43EB0A002819FaAEFe,sYUSDOFT,setDelegate,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Katana,0xFCeF626dE4A0175ac962DD43EB0A002819FaAEFe,sYUSDOFT,setMsgInspector,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Base,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,addBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Base,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,removeBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Base,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,setPeer,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Base,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,setDelegate,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Base,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,YUSDOFT,setMsgInspector,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Plasma,0xF07781182B47e728B040f9e35321260e359fF9f7,YUSDOFT,addBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Plasma,0xF07781182B47e728B040f9e35321260e359fF9f7,YUSDOFT,removeBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Plasma,0xF07781182B47e728B040f9e35321260e359fF9f7,YUSDOFT,setPeer,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Plasma,0xF07781182B47e728B040f9e35321260e359fF9f7,YUSDOFT,setDelegate,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Plasma,0xF07781182B47e728B040f9e35321260e359fF9f7,YUSDOFT,setMsgInspector,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Plasma,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,sYUSDOFT,setPeer,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Plasma,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,sYUSDOFT,setDelegate,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Plasma,0xca2671Dcd031a72359f456C212F62A9bDa737cD7,sYUSDOFT,setMsgInspector,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
